ROLE,JOUEUR,ID_MAIN
TOP,Deimos,M3XU7cLOGocApSD9Zir4SYuq-2E_wYgaYnMOcknRBiyAqko
TOP,Misanthiel,_0Kl9zqoKn8b0tqYj1owpWMlDohK1JWB9rMOaAhGiMG5Ztg
TOP,Arhys,XE7I81fmTaGwxm8ix6Io8Pomhp2z7VpcsQJd7l4g4qaM_JU
TOP,Kitano,GyDeyYtrgaaH_dmCL24f1mWEKQdGqDCfUGBB-07XJcUF2BE
TOP,Blackgryf,q7zN5LutqtjEeREKcqrLSEXKcRXU9PbZalXFInzY_4mFqGw
TOP,Theoloris,PD3Jf1HX551JWfq6O9jFGhJjQfDsOqkImqZWY0X94iYlUX_B1wsBu6KU
TOP,Farhed,LvPgIvKW-n9VUZhBOOJX8vnjlu29iwtkQzxFXxC3fLKHjA
TOP,Lithosphere,EEY6eg0hylF8yGsoCfhsRKt_suWx_m5RvadLBBwCI-dUtw
TOP,Manguier,_xy_RB88yGg9FUk1u33HzcnUmS8DqsRAoXyBQokt3RSYGfw
TOP,Tobi,eSw--gCnCULfg2N0_SIiWk14r1a6EHoJhr9jCAWpnvs6QLc
TOP,Uhtred,dlqJ0cQfFdPBjLzb35iIhFcVwWuVLB66No5-bAWWBJX0Sgc
TOP,Magmica,AYNZ8gO1chG-tMGuFLicgGMousYp6sExyGZayRPsGFsQzrlhAY8Ts8cv
TOP,Kallessyn,YlL8K5qsuox6dO2YBbbDHgn6E8QTmH5_TuQBdivvV2C67A
JGL,Makoto,Ymf0I0ymTRzjmW5qofzTWrDA5pxQNuBOmpty5XQK_8LJ7FAtrBVT-sqz
JGL,Ugli,dnpMna14wdqNjNLDxPj3WxjrPm4pLZ-mi2EzhZZ8V-Kyi-k
JGL,Stavo,MNSfRatzeiSUx64JL2Kl5Hcf7oUa3uSeeVpioY0wfslQUg
JGL,Icarus,69tlLI8G0s3vWOHKyFJNZe1zNCB-eoM55k-KyTh39Wp6wAQ
JGL,Kec,2c9SOxdo3OGz2O7HdjLCwaPLkPQpaT0tGa_TjT8wMTA2cyI
JGL,Metroflox,H7BQEr71rCpRD8KPeudRpf8uVDKBp_UM3rV6m7YvaBzD0xs
JGL,Theocacao,I4Qq5eYqmvAVcGPuAo27RrX8RuPdUc9fgXm1OSAaBReXyOw
JGL,Renewal,vVIZ66v05bLJLrY9qLIetw6n3VCi6G-GQ_0mYxgamB4bzg
JGL,Venaks,CKZ8L_87ngnazEg0ddlaZrsYdwrNnMo5MHOoQsmo9wSFq3syNMRBScug
JGL,Woden,-uYQzJx7dAfPY-oMn4ZQ8wWaNBS0AfIj62qnPtaF-HyaIB0
JGL,Yams,BqdLLcwLbImz3KHtYN0KP4ptg4VrFBQ2ot2Ay5RwwaEaAiw
JGL,Hawlight,qtUhQvrZxWblbZcTEVWp5d6TWMpFsXRlTj73rBuIEUNWAU4
JGL,Clown,jrEdbo1IPDBbTNSHhTZ83nYqxpaeULc1juwbS_4RVqYonQ
JGL,Tak,7j58DP_m9MifrViFCTxRcAMkNUkCULBtfgsrsAIw5y7TA1M
JGL,Earyz,m6nVr7TpTXv27qivjVaV049CyXl1zXIiqnOraoLpM4y2d-c
JGL,Asta,S0140wmszCjV9o-1ylHn2higbQoGRIGmJRiuflS3_xVTQ3AMVfM1tbC4
MID,Zhangsid,mtThtHdsrU9GK2EaUoxGDAdmU-kEylGooCW_qQ4W7UaEFhI
MID,Diverse,GL9QcV1ZvokZvj72hax3uiGPkuaZomB_3_lJQ25FZ8Vfu_w
MID,Wan,zRng2qvHSXnIEJUt_HgJ4gjZVZPbKRPFJ3NWpKYN60jODw
MID,Alex,zFMrXgMAVXObD8DUACrvjck6IsuWEp4pqI8Ruj1L-CakdTg
MID,Chaneure,q1U01dnikRGvT_Z6p8Wk3un9dYDHkKHDGLf2Ru-PEWiP_wOjt2KV1V7r
MID,Kamiloo,r178ImGDq1b6JsyOL6cMhg5lzht2JpBIBv4t70UJPcCmUC8
MID,Poro,eTlTpzKHA2EAmYtgpIDSUCVvS0Tzt9tLEqttyq56WQdsenA
MID,Statiik,zWgUgDt1g_F44jPaWFDpr5-GVTRIPlRhjx99n_aA8rUGNmM
MID,Artoria,C4wz7ChK2Hi7_dhr4VGmb8nrMjiMFCxRgRAiUhnWISzFZQg
MID,Spadur,vKA2uXqQv48xEY_Vzy6xqa-Zvfjc4bqHJYn1h3IMdrFyzw
MID,Monstrob,_rCUCoa0bTjeQaYDTF6tYBmbTpH9O1oiiSor0Qga3Dmdgw
MID,Bluebeast,EEg6aqu55zOMH8taCkbfWRvEETtNp_v8XzclUSUJIwfO3Q
MID,Guirake,GXBhzp66mp6ouI0hK4mXpeSb5xrrHScsP792rOBKsaUp3A
MID,Solal,iNfj9Bs09XrIUHK0aRqc-3Q750Voc7UbuYx6Wwn2TwiDD4OXdKMie9w0
BOT,Poypoy,2CTDZFT8I2ubJHq1X0fOZNQ_ffZ6OmQ1OoMBT0QJA4-ajKmyNinxeb3R
BOT,Fabio,DO1j786rV5HNSKGU-pnpMM1KdaqRj7Bd7BsIDEI6aOhOZaolVWnW7N-a
BOT,Goldenpenny,vEf3Y46WrvOAB0IeOfankzBDwWKPMRlZuHWOITrKQtBkW88
BOT,Rift,Jy5XCrMnM79CmP0wG4z8VmfGU3m-D3V9UHpih3sGBCHStXMnbKtJr3JL
BOT,Aiko,oPWEqmkNINxpQgdbU0juUH4VgaMnOG4M4vGmCDCThlygr9rescLptzwm
BOT,Nitjit,q5NKULZzfAmmB2hET3NnIcw31KdvynpL9idSi219wfwuWQ
BOT,Pingouin,FVqz8VG8aBl34YbmnpzdFQMyae5uokQcjJw_H6Ae-4RNb2w
BOT,Weiko,J9UfEv5YucVGcYFA7k9j4Gd2JfoITBbIcsQRY8tyhuvYbTw_skT6xJjh
